Tipo,X,Y
Ejecutada,-0.21892644445796378,-0.5199532211703862
Ejecutada,-0.21068832174087804,-0.5198104370402028
Ejecutada,-0.2025147409894566,-0.5196586503474598
Ejecutada,-0.19427699702006448,-0.5194954709849625
Ejecutada,-0.18610341626864305,-0.5193436842922196
Ejecutada,-0.1778652935515573,-0.5192009001620361
Ejecutada,-0.16962717083447126,-0.5190581160318527
Ejecutada,-0.16145359008304982,-0.5189063293391097
Ejecutada,-0.1532158461136577,-0.5187431499766124
Ejecutada,-0.14504226536223644,-0.5185913632838695
Ejecutada,-0.13680414264515053,-0.518448579153686
Ejecutada,-0.1286305618937291,-0.5182967924609431
Ejecutada,-0.12039281792433697,-0.5181336130984457
Ejecutada,-0.11221923717291554,-0.5179818264057028
Ejecutada,-0.10398111445582979,-0.5178390422755194
Ejecutada,-0.09574299173874375,-0.5176962581453359
Ejecutada,-0.08756941098732232,-0.517544471452593
Ejecutada,-0.0793316670179302,-0.5173812920900956
Ejecutada,-0.07115808626650891,-0.5172295053973527
Ejecutada,-0.06291996354942302,-0.5170867212671693
Ejecutada,-0.06291996354942288,-0.5170867212671693
Ejecutada,-0.06291996354942302,-0.5170867212671693
Ejecutada,-0.06291996354942302,-0.5170867212671693
Ejecutada,-0.05566051620650129,-0.5131896098388229
Ejecutada,-0.05566051620650141,-0.513189609838823
Ejecutada,-0.0556605162065013,-0.5131896098388229
Ejecutada,-0.0556605162065013,-0.5131896098388229
Ejecutada,-0.05566051620650137,-0.513189609838823
Ejecutada,-0.05566051620650132,-0.5131896098388229
Ejecutada,-0.053345508710771074,-0.50534925258964
Ejecutada,-0.051030501215040824,-0.4975088953404572
Ejecutada,-0.05103050121504085,-0.4975088953404574
Ejecutada,-0.04998345713603486,-0.48933633442565105
Ejecutada,-0.04998345713603486,-0.48933633442565105
Ejecutada,-0.05022694165628079,-0.48116497121083196
Ejecutada,-0.050462148339963285,-0.4729289690844631
Ejecutada,-0.05069735502364575,-0.46469296695809437
